time,open,high,low,close,volume,symbol
2024-12-14 21:00:00,100790.46,101176.13,100777.0,101083.26,3.72079086,BTC/USDT
2024-12-14 22:00:00,101083.26,101255.77,100901.65,101151.54,3.36682407,BTC/USDT
2024-12-14 23:00:00,101149.46,101486.12,101052.3,101415.7,1.43078287,BTC/USDT
2024-12-15 00:00:00,101385.67,101554.64,101252.67,101448.72,2.27033712,BTC/USDT
2024-12-15 01:00:00,101479.42,102190.54,101416.15,102125.43,3.19799577,BTC/USDT
2024-12-15 02:00:00,102124.15,102126.3,101769.34,101840.03,3.57026279,BTC/USDT
2024-12-15 03:00:00,101876.76,101940.6,101727.76,101794.77,2.27816579,BTC/USDT
2024-12-15 04:00:00,101798.86,102847.91,101798.86,102379.11,39.97350165,BTC/USDT
2024-12-15 05:00:00,102357.07,102508.18,102110.83,102174.82,10.93941327,BTC/USDT
2024-12-15 06:00:00,102142.12,102169.11,101762.61,101762.62,41.05399533,BTC/USDT
2024-12-15 07:00:00,101768.22,101939.09,101544.53,101763.13,20.84596212,BTC/USDT
2024-12-15 08:00:00,101766.08,102023.82,101586.73,102023.82,3.05723575,BTC/USDT
2024-12-15 09:00:00,101987.75,102263.37,101948.72,102257.38,4.09312272,BTC/USDT
2024-12-15 10:00:00,102257.58,102445.86,102138.55,102275.1,2.53719991,BTC/USDT
2024-12-15 11:00:00,102258.19,102692.64,102244.9,102654.7,4.0561418,BTC/USDT
2024-12-15 12:00:00,102684.78,103343.35,102544.5,102968.54,9.26059351,BTC/USDT
2024-12-15 13:00:00,102943.73,102959.86,102498.77,102759.41,5.08981415,BTC/USDT
2024-12-15 14:00:00,102814.78,103055.72,102678.6,102942.87,2.75512716,BTC/USDT
2024-12-15 15:00:00,102928.94,103031.28,102689.06,102718.26,5.67363034,BTC/USDT
2024-12-15 16:00:00,102700.64,103499.0,102610.51,103120.82,13.86255271,BTC/USDT
2024-12-15 17:00:00,103127.49,103533.52,102988.78,103162.43,26.59430156,BTC/USDT
2024-12-15 18:00:00,103155.94,103362.02,102987.61,103312.44,8.24818992,BTC/USDT
2024-12-15 19:00:00,103379.2,103447.18,103184.01,103245.11,3.56426141,BTC/USDT
2024-12-15 20:00:00,103266.25,103409.08,103067.25,103129.15,5.57647131,BTC/USDT
2024-12-15 21:00:00,103191.38,103191.38,102639.78,102822.04,4.76861546,BTC/USDT
2024-12-15 22:00:00,102796.3,103386.27,102616.96,103297.84,7.07718669,BTC/USDT
2024-12-15 23:00:00,103296.2,105243.75,103230.85,104446.39,70.44530624,BTC/USDT
2024-12-16 00:00:00,104488.76,106614.94,104329.41,105480.45,48.60598648,BTC/USDT
2024-12-16 01:00:00,105418.87,105583.79,104997.84,105524.67,19.18464097,BTC/USDT
2024-12-16 02:00:00,105540.48,105642.18,104439.61,104614.15,32.46803189,BTC/USDT
2024-12-16 03:00:00,104573.53,105020.68,104252.05,104570.21,25.8785308,BTC/USDT
2024-12-16 04:00:00,104588.44,104816.81,104450.95,104681.93,22.91737596,BTC/USDT
2024-12-16 05:00:00,104671.53,105073.82,104491.71,105040.8,12.73622587,BTC/USDT
2024-12-16 06:00:00,105014.65,105376.73,104951.05,105140.99,21.66982211,BTC/USDT
2024-12-16 07:00:00,105140.99,105595.52,104891.43,104997.76,21.66282031,BTC/USDT
2024-12-16 08:00:00,104992.24,105027.13,104524.68,104549.65,23.76656646,BTC/USDT
2024-12-16 09:00:00,104572.12,104948.22,104509.39,104681.68,26.09235932,BTC/USDT
2024-12-16 10:00:00,104680.49,104722.25,104359.91,104693.96,11.56369829,BTC/USDT
2024-12-16 11:00:00,104687.27,104848.57,103639.62,103766.99,22.51704042,BTC/USDT
2024-12-16 12:00:00,103747.7,104199.44,103347.78,103654.49,66.55737678,BTC/USDT
2024-12-16 13:00:00,103654.49,104156.92,103489.38,103913.03,48.28173861,BTC/USDT
2024-12-16 14:00:00,103912.51,106028.08,103886.13,105459.35,72.16218409,BTC/USDT
2024-12-16 15:00:00,105521.23,106528.28,105284.39,106400.01,240.8664832,BTC/USDT
2024-12-16 16:00:00,106417.07,107170.79,106156.57,106835.08,142.96192388,BTC/USDT
2024-12-16 17:00:00,106839.35,107211.96,106716.07,107095.98,131.28236622,BTC/USDT
2024-12-16 18:00:00,107092.68,107837.25,106889.22,107104.67,140.33325596,BTC/USDT
2024-12-16 19:00:00,107103.18,107111.9,105795.12,106591.47,51.59582002,BTC/USDT
2024-12-16 20:00:00,106591.47,106680.73,105772.93,105798.09,52.81770321,BTC/USDT
2024-12-16 21:00:00,105853.54,106283.57,105654.82,106058.19,19.30226628,BTC/USDT
2024-12-16 22:00:00,106058.6,106302.95,105723.87,105778.13,80.3832944,BTC/USDT
2024-12-16 23:00:00,105802.62,106072.77,105460.51,106072.77,7.16049871,BTC/USDT
2024-12-17 00:00:00,106054.03,106249.53,105653.5,105857.63,11.62718288,BTC/USDT
2024-12-17 01:00:00,105842.08,106479.78,105742.97,106368.59,4.33971891,BTC/USDT
2024-12-17 02:00:00,106368.59,106618.65,106175.81,106248.81,5.72402251,BTC/USDT
2024-12-17 03:00:00,106295.4,107008.08,106295.4,106867.92,6.87897216,BTC/USDT
2024-12-17 04:00:00,106863.3,106864.67,106405.27,106502.1,7.20603356,BTC/USDT
2024-12-17 05:00:00,106510.93,106828.96,106447.57,106808.43,5.47591452,BTC/USDT
